                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6999,                 3.7671,                  4.213,                0.00219,                0.22487,                0.00271,                0.00076,                 3.4459,                 3.7434,                 4.0844,                 0.0748,                 0.0028,                 0.0028
                      1,                 3.5869,                 3.5686,                 4.0907,                 0.0022,                0.21817,                0.00219,                0.00065,                 3.4258,                 3.7144,                 4.0146,               0.048644,              0.0056436,              0.0056436
                      2,                 3.5467,                 3.5271,                 3.9554,                0.00228,                0.23232,                0.00244,                0.00074,                 3.4191,                 3.7082,                 3.9775,                0.02243,              0.0084297,              0.0084297
                      3,                  3.338,                 3.4517,                 3.7733,                0.00498,                0.51154,                 0.0112,                0.00255,                 3.1212,                 3.5569,                 3.7903,               0.009703,               0.009703,               0.009703
                      4,                 3.1908,                 3.3851,                 3.5796,                0.00479,                0.45346,                 0.0039,                0.00117,                 3.1302,                 9.8588,                 3.9727,               0.009703,               0.009703,               0.009703
                      5,                 3.0543,                 3.2931,                 3.4038,                0.07454,                0.05138,                0.02162,                 0.0052,                 2.8346,                 4.7132,                 3.4918,               0.009604,               0.009604,               0.009604
                      6,                 2.8823,                 3.2131,                 3.1915,                0.06356,                0.05436,                0.02161,                0.00557,                 2.8881,                  4.914,                 3.5088,               0.009505,               0.009505,               0.009505
                      7,                 2.7628,                 3.1488,                 3.0586,                0.07014,                0.07074,                0.03057,                0.01064,                 2.5741,                 3.8676,                 3.0349,               0.009406,               0.009406,               0.009406
                      8,                  2.717,                 3.0986,                 2.9941,                0.03957,                 0.0618,                0.02022,                 0.0076,                 2.6666,                 4.6282,                  3.129,               0.009307,               0.009307,               0.009307
                      9,                 2.6206,                 3.0252,                 2.9227,                 0.0555,                0.05957,                0.03428,                0.01284,                 2.4283,                 5.6977,                 2.9745,               0.009208,               0.009208,               0.009208
                     10,                 2.5711,                 2.9525,                  2.848,                0.06767,                0.10648,                0.02628,                0.00976,                 2.4029,                 5.6066,                 2.8788,               0.009109,               0.009109,               0.009109
                     11,                 2.4853,                 2.8769,                 2.7506,                0.05678,                0.04021,                0.01243,                0.00401,                 2.5903,                 5.8572,                 3.0372,                0.00901,                0.00901,                0.00901
                     12,                 2.4092,                 2.8357,                 2.7133,                0.12029,                0.17424,                0.06597,                0.02233,                 2.3167,                 3.7593,                 2.7811,               0.008911,               0.008911,               0.008911
                     13,                 2.3945,                 2.8175,                 2.6791,                0.18175,                0.20253,                0.08788,                0.03361,                 2.2049,                 4.1816,                 2.7236,               0.008812,               0.008812,               0.008812
                     14,                 2.3493,                  2.718,                 2.5715,                0.15234,                0.15934,                0.07851,                0.03321,                 2.1365,                 3.7341,                 2.5979,               0.008713,               0.008713,               0.008713
                     15,                 2.2788,                 2.6975,                 2.5303,                0.22486,                0.21817,                 0.1277,                0.05441,                 2.1462,                 2.7585,                 2.6159,               0.008614,               0.008614,               0.008614
                     16,                 2.2473,                 2.5943,                 2.5048,                0.21872,                0.25763,                0.15826,                0.06933,                 1.9829,                 2.8064,                 2.4951,               0.008515,               0.008515,               0.008515
                     17,                 2.1696,                  2.559,                 2.4231,                0.18015,                0.22561,                 0.1172,                0.05535,                 1.9857,                 3.3307,                 2.4839,               0.008416,               0.008416,               0.008416
                     18,                  2.117,                 2.5138,                 2.3976,                0.26441,                0.28742,                0.17774,                0.08671,                 1.9314,                 2.6638,                  2.424,               0.008317,               0.008317,               0.008317
                     19,                  2.061,                 2.4613,                  2.367,                0.26505,                0.28369,                0.17533,                0.08532,                  1.902,                  2.549,                 2.4032,               0.008218,               0.008218,               0.008218
                     20,                 2.0513,                 2.4697,                 2.4002,                0.30988,                0.32398,                0.22644,                0.10728,                 1.8749,                  2.383,                 2.3919,               0.008119,               0.008119,               0.008119
                     21,                 2.0112,                 2.4193,                 2.3361,                 0.2834,                0.34401,                0.22928,                0.11317,                 1.8084,                 2.4337,                 2.3219,                0.00802,                0.00802,                0.00802
                     22,                 1.9909,                 2.3651,                 2.2825,                0.27442,                0.32688,                0.21597,                0.10127,                 1.8622,                 2.4915,                 2.3719,               0.007921,               0.007921,               0.007921
                     23,                 1.9647,                 2.3488,                 2.2932,                0.30256,                0.37081,                0.23996,                0.12481,                 1.7229,                 2.3344,                 2.2644,               0.007822,               0.007822,               0.007822
                     24,                 1.9464,                 2.3613,                 2.2606,                0.30109,                0.38462,                0.29081,                0.14729,                 1.7071,                 2.2494,                 2.2254,               0.007723,               0.007723,               0.007723
                     25,                 1.8672,                 2.2904,                 2.2077,                0.32019,                0.26731,                0.22442,                0.11747,                 1.7834,                 2.5502,                 2.3146,               0.007624,               0.007624,               0.007624
                     26,                 1.8493,                 2.2294,                  2.176,                0.33869,                0.37528,                0.29368,                0.15325,                 1.7019,                 2.2566,                 2.2158,               0.007525,               0.007525,               0.007525
                     27,                  1.864,                 2.2341,                 2.1787,                 0.3903,                0.38421,                0.32411,                0.17853,                  1.653,                 2.1301,                  2.183,               0.007426,               0.007426,               0.007426
                     28,                 1.8478,                 2.1962,                 2.1532,                0.32871,                 0.4073,                0.30619,                0.17221,                 1.6311,                 2.1545,                 2.1483,               0.007327,               0.007327,               0.007327
                     29,                 1.8018,                 2.1618,                 2.1044,                 0.3174,                0.41325,                0.28518,                0.16143,                 1.6337,                 2.3289,                 2.1279,               0.007228,               0.007228,               0.007228
                     30,                 1.8039,                 2.1733,                 2.1447,                0.30152,                0.37081,                0.24063,                0.13027,                 1.6616,                 2.2811,                 2.1812,               0.007129,               0.007129,               0.007129
                     31,                 1.7912,                 2.1665,                 2.1316,                0.37683,                0.43135,                0.35914,                 0.2137,                 1.5266,                 2.0968,                 2.0311,                0.00703,                0.00703,                0.00703
                     32,                 1.7552,                  2.117,                  2.075,                 0.3398,                0.43261,                0.31919,                0.18028,                 1.5205,                 2.1114,                 2.0338,               0.006931,               0.006931,               0.006931
                     33,                 1.7501,                 2.1192,                 2.0884,                 0.4062,                0.43336,                0.35265,                0.21373,                 1.4762,                  2.007,                 1.9947,               0.006832,               0.006832,               0.006832
                     34,                 1.6776,                  2.044,                   2.03,                0.41699,                0.40283,                0.34661,                0.21234,                 1.5041,                 1.9702,                 2.0119,               0.006733,               0.006733,               0.006733
                     35,                 1.7207,                 2.0494,                 2.0391,                0.39012,                0.38198,                0.30047,                0.17216,                 1.5854,                 2.1111,                 2.1001,               0.006634,               0.006634,               0.006634
                     36,                 1.6981,                 2.0468,                 2.0295,                0.42586,                 0.4557,                0.39324,                0.23305,                  1.459,                 1.9122,                 1.9549,               0.006535,               0.006535,               0.006535
                     37,                 1.6321,                 1.9899,                  1.973,                0.41471,                0.44751,                0.39537,                0.23656,                  1.447,                 1.8787,                 1.9504,               0.006436,               0.006436,               0.006436
                     38,                 1.6643,                 2.0544,                 2.0126,                0.41283,                0.45048,                0.38377,                0.23261,                 1.4337,                  1.891,                 1.9426,               0.006337,               0.006337,               0.006337
                     39,                 1.6323,                 1.9444,                 1.9715,                0.41981,                0.42509,                0.36617,                0.22801,                 1.5091,                   1.99,                 2.0039,               0.006238,               0.006238,               0.006238
                     40,                 1.5805,                 1.9209,                 1.9291,                0.40885,                0.47944,                0.39852,                0.25349,                 1.4156,                 1.8758,                  1.915,               0.006139,               0.006139,               0.006139
                     41,                 1.5862,                 1.9304,                 1.9491,                0.44395,                0.47878,                0.42805,                0.27131,                 1.3641,                 1.8109,                 1.8665,                0.00604,                0.00604,                0.00604
                     42,                 1.5998,                 1.9194,                 1.9376,                0.39157,                0.48846,                0.39331,                0.24433,                 1.3919,                 1.8353,                 1.8843,               0.005941,               0.005941,               0.005941
                     43,                 1.6152,                 1.9051,                 1.9685,                0.41644,                0.46972,                0.39909,                0.23555,                 1.4414,                 1.8298,                 1.9024,               0.005842,               0.005842,               0.005842
                     44,                 1.5552,                  1.876,                  1.895,                 0.3848,                0.46388,                0.38171,                0.23045,                 1.4178,                   1.87,                 1.8979,               0.005743,               0.005743,               0.005743
                     45,                 1.5629,                 1.8818,                  1.905,                0.45822,                0.47357,                0.44135,                0.27997,                 1.3795,                 1.7411,                 1.8679,               0.005644,               0.005644,               0.005644
                     46,                 1.5737,                 1.8802,                 1.9065,                0.47575,                0.47908,                0.42793,                0.26815,                 1.3882,                 1.7543,                 1.8887,               0.005545,               0.005545,               0.005545
                     47,                 1.5645,                 1.9019,                 1.9079,                0.42063,                0.49739,                0.43878,                0.28375,                 1.3097,                 1.7089,                 1.8057,               0.005446,               0.005446,               0.005446
                     48,                 1.5455,                 1.8236,                 1.8808,                0.44772,                0.51973,                 0.4529,                0.28628,                 1.3227,                 1.6778,                 1.8257,               0.005347,               0.005347,               0.005347
                     49,                 1.5174,                 1.8116,                 1.8454,                0.46745,                0.51303,                0.46312,                0.29923,                 1.3074,                 1.6727,                 1.7966,               0.005248,               0.005248,               0.005248
                     50,                 1.4744,                 1.7729,                 1.8302,                0.42537,                0.52122,                0.42293,                0.26997,                 1.2929,                 1.7126,                 1.7779,               0.005149,               0.005149,               0.005149
